layer_idx,step_idx,head_idx,plane_idx,reads_count
1,0,6,17,10
1,0,6,18,11
1,0,6,19,12
1,0,6,20,13
1,0,6,21,13
1,0,6,22,10
1,0,6,23,15
1,0,6,24,13
1,0,6,25,11
1,0,6,26,10
1,0,6,27,10
1,0,6,28,14
1,0,6,29,14
1,0,6,30,15
1,0,6,31,12
1,0,7,0,10
1,0,7,1,10
1,0,7,2,9
1,0,7,3,11
1,0,7,4,12
1,0,7,5,8
1,0,7,6,8
1,0,7,7,9
1,0,7,8,11
1,0,7,9,8
1,0,7,10,12
1,0,7,11,10
1,0,7,12,11
1,0,7,13,10
1,0,7,14,9
1,0,7,15,10
1,0,7,16,13
1,0,7,17,12
1,0,7,18,14
1,0,7,19,11
1,0,7,20,14
1,0,7,21,18
1,0,7,22,12
1,0,7,23,13
1,0,7,24,14
1,0,7,25,14
1,0,7,26,14
1,0,7,27,13
1,0,7,28,11
1,0,7,29,11
1,0,7,30,12
1,0,7,31,12
2,0,0,0,9
2,0,0,1,13
2,0,0,2,11
2,0,0,3,13
2,0,0,4,11
2,0,0,5,9
2,0,0,6,6
2,0,0,7,7
2,0,0,8,10
2,0,0,9,10
2,0,0,10,10
2,0,0,11,14
2,0,0,12,12
2,0,0,13,13
2,0,0,14,15
2,0,0,15,14
2,0,0,16,16
2,0,0,17,15
2,0,0,18,9
2,0,0,19,8
2,0,0,20,9
2,0,0,21,9
2,0,0,22,10
2,0,0,23,9
2,0,0,24,12
2,0,0,25,11
2,0,0,26,11
2,0,0,27,14
2,0,0,28,14
2,0,0,29,13
2,0,0,30,11
2,0,0,31,7
2,0,1,0,16
2,0,1,1,14
2,0,1,2,15
2,0,1,3,14
2,0,1,4,13
2,0,1,5,13
2,0,1,6,12
2,0,1,7,12
2,0,1,8,11
2,0,1,9,11
2,0,1,10,11
2,0,1,11,10
2,0,1,12,9
2,0,1,13,10
2,0,1,14,9
2,0,1,15,9
2,0,1,16,10
2,0,1,17,10
2,0,1,18,11
2,0,1,19,10
2,0,1,20,9
2,0,1,21,9
2,0,1,22,9
2,0,1,23,11
2,0,1,24,11
2,0,1,25,11
2,0,1,26,13
2,0,1,27,13
2,0,1,28,12
2,0,1,29,12
2,0,1,30,14
2,0,1,31,14
2,0,2,0,13
2,0,2,1,14
2,0,2,2,11
2,0,2,3,11
2,0,2,4,13
2,0,2,5,14
2,0,2,6,14
2,0,2,7,14
2,0,2,8,11
2,0,2,9,13
2,0,2,10,13
2,0,2,11,9
2,0,2,12,12
2,0,2,13,13
2,0,2,14,11
2,0,2,15,11
2,0,2,16,15
2,0,2,17,9
2,0,2,18,10
